agrp,rsex,ethnicgrpr,sexidr,rnssecgp_6,adj_imd_quintile,rwcasual,snnolov,snpres,snold,snsexdrv,snmedia,snearly,attconservative,dage1ch,disabil2,depscr,religimp,relstatr,total_wt
16-24,Female,White,Heterosexual/straight,Semi-routine and routine occupations,[most deprived],Always wrong,Disagree strongly,Disagree,Disagree,Disagree,Agree strongly,Agree strongly,0.7504967174606383,17.0,None,No,Not very important,In a steady & ongoing relationship  but not living with a partner in last year,0.32941244258621694
16-24,Female,White,Heterosexual/straight,Student in full-time education,[most deprived],Mostly wrong,Neither agree or disagree,Agree strongly,Don't know,Agree strongly,Agree,Agree,,18.0,Limiting,Yes,Fairly important,Living with partner,0.6588248851724339
16-24,Female,White,Heterosexual/straight,Managerial and prof occupations,2.0,Sometimes wrong,Agree,Agree strongly,Disagree,Agree,Agree,Agree strongly,0.33585611983198593,,None,No,Not very important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.8336976374412065
25-34,Male,White,Heterosexual/straight,Semi-routine and routine occupations,2.0,Sometimes wrong,Agree,Agree,Neither agree or disagree,Agree strongly,Neither agree or disagree,Agree,-0.2807429334196372,25.0,Limiting,No,Not very important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.5605257671446935
35-44,Female,White,Heterosexual/straight,Intermediate occupations,3.0,Sometimes wrong,Neither agree or disagree,Disagree,Disagree,Agree strongly,Agree,Agree strongly,0.10377037883860332,,None,Yes,Very important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",1.3666587159984154
16-24,Female,White,Heterosexual/straight,Semi-routine and routine occupations,2.0,Mostly wrong,Neither agree or disagree,Agree strongly,Neither agree or disagree,Agree,Agree,Agree strongly,0.9619257015938496,,None,No,Not very important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.48289026280377056
25-34,Male,White,Heterosexual/straight,Semi-routine and routine occupations,3.0,Sometimes wrong,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Agree,Agree,0.17406819720092462,,None,No,Not important at all,Married/In a civil partnership and living with spouse/partner,0.5944510169662519
35-44,Female,White,Heterosexual/straight,Lower supervisory and technical occupations,[least deprived],Mostly wrong,Neither agree or disagree,Agree,Disagree,Disagree strongly,Neither agree or disagree,Agree strongly,-0.3867706255839933,24.0,None,No,Not important at all,Living with partner,1.2085094731477488
25-34,Female,White,Heterosexual/straight,Semi-routine and routine occupations,[most deprived],Always wrong,Neither agree or disagree,Agree strongly,Neither agree or disagree,Agree strongly,Agree strongly,Agree strongly,1.680219371835162,27.0,Limiting,No,Not important at all,Married/In a civil partnership and living with spouse/partner,0.5883366989308798
35-44,Female,White,Heterosexual/straight,Managerial and prof occupations,[least deprived],Sometimes wrong,Agree,Agree strongly,Disagree,Disagree strongly,Neither agree or disagree,Agree strongly,-0.5820703085073113,23.0,Limiting,No,Not important at all,Married/In a civil partnership and living with spouse/partner,2.3937371715500597
16-24,Female,White,Heterosexual/straight,Student in full-time education,2.0,Sometimes wrong,Agree,Agree strongly,Disagree,Agree,Agree,Agree,-0.08715224874604569,,None,No,Not very important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.6838786609280489
16-24,Male,White,Heterosexual/straight,Student in full-time education,3.0,Rarely wrong,Agree,Disagree,Disagree,Disagree,Agree,Agree,-1.2883387770910117,,None,No,Not important at all,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.3601233845487993
45-54,Male,Not white,Heterosexual/straight,Lower supervisory and technical occupations,[most deprived],Not wrong at all,Agree,Agree,Agree,Neither agree or disagree,Agree,Agree,-0.41128302668430516,,None,No,Very important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",2.2808898057291898
35-44,Female,Not white,Heterosexual/straight,Never worked or long term unemployed,[most deprived],Always wrong,Disagree,Agree strongly,Neither agree or disagree,Agree strongly,Agree strongly,Agree strongly,1.9283688904428846,18.0,Limiting,Yes,Very important,Married/In a civil partnership and living with spouse/partner,2.09816600418045
25-34,Female,White,Heterosexual/straight,Semi-routine and routine occupations,[most deprived],Sometimes wrong,Agree strongly,Agree,Disagree,Disagree strongly,Agree strongly,Disagree,-1.5895435967039073,,Non-limiting,No,Fairly important,Living with partner,0.5094311383576463
55-64,Female,White,Heterosexual/straight,Semi-routine and routine occupations,3.0,Always wrong,Neither agree or disagree,Agree strongly,Disagree,Disagree,Agree strongly,Agree strongly,0.9185497452146674,19.0,Non-limiting,No,Not important at all,Widowed and not in a steady & ongoing relationship in last year,0.6828188058342917
55-64,Female,White,Heterosexual/straight,No job of 10+ hrs/week in last 10 years,[most deprived],Not wrong at all,Agree,Agree,Neither agree or disagree,Agree strongly,Agree,Agree strongly,0.1706397421150773,23.0,Non-limiting,No,Not important at all,Married/In a civil partnership and living with spouse/partner,1.3656376116685833
25-34,Male,White,Heterosexual/straight,Lower supervisory and technical occupations,[most deprived],Always wrong,Agree,Agree,Agree,Disagree,Agree,Agree strongly,0.5020119470803713,25.0,None,No,Not important at all,Living with partner,0.8483469698153187
16-24,Female,White,Heterosexual/straight,Student in full-time education,2.0,Sometimes wrong,Agree,Agree,Disagree,Neither agree or disagree,Agree,Agree,-0.4927197424375729,,Limiting,Yes,Very important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.369477315668341
45-54,Male,White,Heterosexual/straight,Managerial and prof occupations,2.0,Always wrong,Agree,Agree strongly,Agree strongly,Agree,Agree strongly,Agree strongly,1.666591468889845,27.0,Limiting,No,Not important at all,Married/In a civil partnership and living with spouse/partner,3.158617635978839
16-24,Male,White,Heterosexual/straight,Student in full-time education,4.0,Mostly wrong,Agree,Agree strongly,Agree,Agree,Disagree,Agree,-0.2310649995448972,,None,No,Not important at all,In a steady & ongoing relationship  but not living with a partner in last year,0.544451372592106
45-54,Male,White,Heterosexual/straight,Semi-routine and routine occupations,[most deprived],Mostly wrong,Agree,Agree strongly,Agree strongly,Agree,Neither agree or disagree,Agree strongly,0.7668385917827117,28.0,Limiting,No,Very important,Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year,0.7799218558122047
16-24,Male,White,Heterosexual/straight,Semi-routine and routine occupations,[most deprived],Mostly wrong,Agree,Agree,Agree strongly,Agree strongly,Agree,Agree,0.672072352484081,21.0,None,No,Not important at all,In a steady & ongoing relationship  but not living with a partner in last year,0.7066697941738267
25-34,Female,White,Heterosexual/straight,Semi-routine and routine occupations,[most deprived],Sometimes wrong,Neither agree or disagree,Disagree,Neither agree or disagree,Agree,Agree,Agree,-0.29403558459240997,20.0,None,Yes,Not very important,Married/In a civil partnership and living with spouse/partner,0.4438849613720187
25-34,Male,White,Heterosexual/straight,Semi-routine and routine occupations,[most deprived],Sometimes wrong,Disagree,Agree strongly,Neither agree or disagree,Disagree,Agree strongly,Agree strongly,1.0388167690602705,17.0,None,No,Not important at all,In a steady & ongoing relationship  but not living with a partner in last year,0.48696833943262974
16-24,Male,White,Heterosexual/straight,Lower supervisory and technical occupations,4.0,Sometimes wrong,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,-0.2834005319221855,,None,No,Not important at all,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.4178983055228935
25-34,Female,White,Heterosexual/straight,Lower supervisory and technical occupations,3.0,Sometimes wrong,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Agree,-0.32073441487697457,22.0,None,No,Fairly important,Living with partner,0.6522618465671888
25-34,Female,White,Heterosexual/straight,Semi-routine and routine occupations,[most deprived],Not wrong at all,Agree,Agree,Disagree,Disagree,Agree,Agree,-1.014038253083449,25.0,None,No,Not important at all,Living with partner,0.47032174135157045
16-24,Male,White,Heterosexual/straight,Intermediate occupations,[most deprived],Rarely wrong,Agree strongly,Agree,Disagree,Agree,Neither agree or disagree,Agree,-1.09092932054987,,None,No,Not very important,In a steady & ongoing relationship  but not living with a partner in last year,0.6713647810567112
16-24,Female,White,Heterosexual/straight,Semi-routine and routine occupations,[most deprived],Rarely wrong,Neither agree or disagree,Disagree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,-0.8282124494653534,18.0,None,No,Fairly important,Living with partner,0.29412353639051886
16-24,Male,White,Heterosexual/straight,Student in full-time education,2.0,Rarely wrong,Agree strongly,Agree,Neither agree or disagree,Agree,Agree,Agree strongly,-0.0930257292222611,,Limiting,No,Not important at all,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",1.2246122332575582
25-34,Female,White,Heterosexual/straight,Managerial and prof occupations,2.0,Sometimes wrong,Neither agree or disagree,Agree,Agree,Agree,Agree strongly,Agree,0.7237610148034835,,None,No,Not very important,Living with partner,0.9955746874042146
25-34,Female,White,Heterosexual/straight,Managerial and prof occupations,3.0,Sometimes wrong,Agree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,-0.46485973878800635,,None,No,Not important at all,Married/In a civil partnership and living with spouse/partner,0.48687643122620394
45-54,Male,White,Heterosexual/straight,Managerial and prof occupations,2.0,Sometimes wrong,Agree strongly,Agree,Agree,Disagree,Neither agree or disagree,Agree,-0.87192365761708,35.0,Non-limiting,No,Not important at all,Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year,1.5573723647690654
55-64,Female,White,Heterosexual/straight,No job of 10+ hrs/week in last 10 years,2.0,Mostly wrong,Disagree,Disagree,Agree strongly,Agree strongly,Agree strongly,Agree strongly,1.5140543938654316,19.0,Limiting,No,Fairly important,Widowed and not in a steady & ongoing relationship in last year,0.5537927193721682
25-34,Male,White,Heterosexual/straight,Semi-routine and routine occupations,[most deprived],Not wrong at all,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Neither agree or disagree,-1.996213318569262,,None,No,Not important at all,Living with partner,1.6966939396306373
25-34,Male,White,Heterosexual/straight,Student in full-time education,2.0,Sometimes wrong,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,-0.4381609085034417,25.0,None,No,Not very important,In a steady & ongoing relationship  but not living with a partner in last year,0.5605257671446935
25-34,Female,Not white,Heterosexual/straight,Student in full-time education,3.0,Always wrong,Disagree,Agree,Agree,Neither agree or disagree,Agree,Agree,0.7594194210861542,,None,No,Very important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.5004048307490793
25-34,Male,White,Heterosexual/straight,Managerial and prof occupations,2.0,Always wrong,Agree strongly,Disagree,Agree,Agree,Agree,Neither agree or disagree,-0.6668220745929928,,None,Yes,Not very important,Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year,0.5605257671446935
16-24,Female,White,Heterosexual/straight,Student in full-time education,[most deprived],Rarely wrong,Agree,Agree,Neither agree or disagree,Agree,Disagree,Agree,-0.9990366036609498,,None,No,Not important at all,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.49083140353657745
16-24,Male,White,Heterosexual/straight,Intermediate occupations,3.0,Rarely wrong,Agree strongly,Agree,Neither agree or disagree,Neither agree or disagree,Disagree,Agree,-1.4313029276370415,,None,No,Not important at all,In a steady & ongoing relationship  but not living with a partner in last year,1.1092503607147715
25-34,Female,White,Not heterosexual/straight,Managerial and prof occupations,2.0,Sometimes wrong,Agree strongly,Neither agree or disagree,Don't know,Agree,Agree strongly,Agree,,31.0,Non-limiting,No,Not important at all,In a steady & ongoing relationship  but not living with a partner in last year,0.46407791861634207
45-54,Female,White,Heterosexual/straight,Managerial and prof occupations,[most deprived],Sometimes wrong,Agree strongly,Disagree,Agree,Neither agree or disagree,Agree,Agree,-0.7651322166608372,28.0,None,Yes,Not important at all,,1.3575034595349673
25-34,Male,White,Not heterosexual/straight,Semi-routine and routine occupations,3.0,Sometimes wrong,Neither agree or disagree,Agree,Neither agree or disagree,Disagree,Neither agree or disagree,Agree,-0.5849438309170218,,None,No,Not important at all,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",1.1821337458594134
55-64,Female,White,Heterosexual/straight,Managerial and prof occupations,2.0,Not wrong at all,Agree,Agree,Disagree,Neither agree or disagree,Agree,Neither agree or disagree,-1.2529298162931115,22.0,Non-limiting,No,Very important,Divorced/Separated and not in a steady & ongoing relationship in last year,0.62012539949815
16-24,Female,White,Heterosexual/straight,Student in full-time education,3.0,Rarely wrong,Agree,Neither agree or disagree,Neither agree or disagree,Disagree,Disagree,Agree,-1.588720902720846,,None,No,Not very important,In a steady & ongoing relationship  but not living with a partner in last year,0.36704359925958224
45-54,Female,White,Heterosexual/straight,Managerial and prof occupations,2.0,Sometimes wrong,Agree,Agree strongly,Disagree,Agree,Agree strongly,Agree strongly,0.7014321320661758,26.0,Non-limiting,No,Fairly important,Married/In a civil partnership and living with spouse/partner,2.66547773280005
55-64,Male,White,Heterosexual/straight,Managerial and prof occupations,[least deprived],Always wrong,Agree,Neither agree or disagree,Agree,Disagree,Neither agree or disagree,Neither agree or disagree,-0.9310314906330399,24.0,Limiting,No,Fairly important,Married/In a civil partnership and living with spouse/partner,1.6071916509255408
35-44,Female,White,Heterosexual/straight,Small employers and own account workers,[least deprived],Sometimes wrong,Agree,Agree,Disagree,Neither agree or disagree,Don't know,Agree,,,None,No,Very important,Married/In a civil partnership and living with spouse/partner,1.198508734283688
25-34,Male,White,Heterosexual/straight,Small employers and own account workers,3.0,Sometimes wrong,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Neither agree or disagree,-0.6397185887583152,,None,No,Not very important,Living with partner,0.8595864912455653
16-24,Female,White,Heterosexual/straight,Semi-routine and routine occupations,[least deprived],Sometimes wrong,Agree,Agree,Disagree,Disagree,Agree strongly,Agree strongly,0.1117478330062795,18.0,Non-limiting,No,Fairly important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.2707254207325315
65-74,Female,White,Heterosexual/straight,No job of 10+ hrs/week in last 10 years,4.0,Always wrong,Disagree strongly,Agree strongly,Neither agree or disagree,Agree strongly,Agree strongly,Agree strongly,2.1765184090506073,20.0,Limiting,No,Very important,Divorced/Separated and not in a steady & ongoing relationship in last year,0.7788610849729063
35-44,Female,White,Heterosexual/straight,Intermediate occupations,4.0,Mostly wrong,Disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,-0.021410537256965484,33.0,None,No,Fairly important,Married/In a civil partnership and living with spouse/partner,1.2523437920902587
16-24,Male,White,Heterosexual/straight,Lower supervisory and technical occupations,[least deprived],Always wrong,Agree,Agree,Disagree,Disagree strongly,Neither agree or disagree,Agree,-0.8893276601309942,21.0,None,No,Not important at all,Married/In a civil partnership and living with spouse/partner,0.835796611045787
45-54,Male,White,Heterosexual/straight,Semi-routine and routine occupations,3.0,Depends/Don't know,Agree,Neither agree or disagree,Disagree,Agree,Neither agree or disagree,Agree strongly,-1.315625532242288,27.0,None,No,Not important at all,Married/In a civil partnership and living with spouse/partner,1.3295239266366488
16-24,Male,White,Heterosexual/straight,Semi-routine and routine occupations,3.0,Sometimes wrong,Neither agree or disagree,Agree,Don't know,Agree,Agree,Neither agree or disagree,,,None,No,Not important at all,In a steady & ongoing relationship  but not living with a partner in last year,0.6504971966130733
35-44,Male,White,Heterosexual/straight,Managerial and prof occupations,[least deprived],Sometimes wrong,Agree strongly,Agree strongly,Neither agree or disagree,Neither agree or disagree,Disagree,Agree,-1.04125138667513,,None,No,Not important at all,Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year,0.9500971930582212
16-24,Female,White,Heterosexual/straight,Semi-routine and routine occupations,3.0,Sometimes wrong,Neither agree or disagree,Agree strongly,Agree,Neither agree or disagree,Agree,Agree,0.39551888552408276,,Non-limiting,No,Not very important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.8572008311806678
25-34,Male,White,Heterosexual/straight,Lower supervisory and technical occupations,3.0,Sometimes wrong,Neither agree or disagree,Agree,Disagree,Agree strongly,Agree strongly,Agree,0.48923939914107795,25.0,None,No,Not very important,Living with partner,0.9887620573600883
35-44,Female,White,Heterosexual/straight,Intermediate occupations,3.0,Always wrong,Disagree,Agree strongly,Disagree,Disagree,Agree strongly,Agree strongly,1.16669926382239,17.0,Non-limiting,No,Not very important,Married/In a civil partnership and living with spouse/partner,1.7624749627764993
16-24,Female,White,Heterosexual/straight,Semi-routine and routine occupations,[least deprived],Sometimes wrong,Neither agree or disagree,Agree,Agree,Disagree,Agree,Agree,-0.010048608167444545,18.0,None,No,Not very important,In a steady & ongoing relationship  but not living with a partner in last year,0.3353102441708849
16-24,Male,White,Heterosexual/straight,Semi-routine and routine occupations,[most deprived],Not wrong at all,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Disagree,Agree,-1.3517542616680722,,None,No,Not very important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.4178983055228935
16-24,Male,Not white,Heterosexual/straight,Semi-routine and routine occupations,4.0,Always wrong,Disagree,Neither agree or disagree,Agree,Agree strongly,Agree strongly,Agree strongly,1.6947867243119559,,None,Yes,Very important,In a steady & ongoing relationship  but not living with a partner in last year,1.9632381794253237
45-54,Female,White,Heterosexual/straight,No job of 10+ hrs/week in last 10 years,[most deprived],Always wrong,Agree strongly,Agree,Agree,Agree strongly,Agree strongly,Agree strongly,1.171788856811946,15.0,Limiting,No,Not important at all,Widowed and not in a steady & ongoing relationship in last year,0.8074293212808281
35-44,Female,White,Heterosexual/straight,Intermediate occupations,[most deprived],Mostly wrong,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,-0.04810936754153014,25.0,None,No,Fairly important,Married/In a civil partnership and living with spouse/partner,0.6993886680601501
16-24,Female,White,Heterosexual/straight,Student in full-time education,4.0,Not wrong at all,Agree strongly,Agree strongly,Agree,Disagree strongly,Disagree,Neither agree or disagree,-1.9603758607520194,,None,,Not very important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.5575169270357393
55-64,Female,White,Heterosexual/straight,Semi-routine and routine occupations,2.0,Always wrong,Agree,Neither agree or disagree,Agree,Agree,Agree strongly,Agree strongly,1.0143708817281414,20.0,Non-limiting,No,Not very important,Widowed and not in a steady & ongoing relationship in last year,0.703412044170609
55-64,Female,White,Heterosexual/straight,Small employers and own account workers,[least deprived],Always wrong,Agree,Agree strongly,Agree,Disagree,Agree,Agree,0.3004542668254978,29.0,Limiting,No,Very important,Married/In a civil partnership and living with spouse/partner,2.215170877488673
65-74,Female,White,Heterosexual/straight,No job of 10+ hrs/week in last 10 years,[most deprived],Always wrong,Disagree,Agree,Agree,Agree,Neither agree or disagree,Agree,0.5779602142203334,,Non-limiting,No,Fairly important,Married/In a civil partnership and living with spouse/partner,0.8645567250638727
16-24,Female,White,Heterosexual/straight,Student in full-time education,4.0,Always wrong,Neither agree or disagree,Agree,Disagree,Disagree,Neither agree or disagree,Agree,-0.4570613361549023,,None,No,Not very important,In a steady & ongoing relationship  but not living with a partner in last year,0.35354634767503734
16-24,Male,White,Heterosexual/straight,Student in full-time education,3.0,Sometimes wrong,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,-1.2934356010575652,,None,No,Not important at all,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.49279622899232794
65-74,Female,White,Heterosexual/straight,Lower supervisory and technical occupations,3.0,Always wrong,Agree strongly,Neither agree or disagree,Disagree,Agree,Agree strongly,Agree strongly,0.3475829420896438,17.0,Limiting,No,Very important,Divorced/Separated and not in a steady & ongoing relationship in last year,0.6965599115676948
35-44,Female,White,Heterosexual/straight,Managerial and prof occupations,2.0,Not wrong at all,Neither agree or disagree,Neither agree or disagree,Disagree,Disagree,Agree,Agree,-0.9873394227988844,25.0,Non-limiting,No,Not important at all,Married/In a civil partnership and living with spouse/partner,1.3351640726782954
25-34,Female,White,Heterosexual/straight,No job of 10+ hrs/week in last 10 years,3.0,Mostly wrong,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,-0.5751419308162526,20.0,Limiting,Yes,Not very important,In a steady & ongoing relationship  but not living with a partner in last year,0.38782198721381506
25-34,Female,White,Heterosexual/straight,Lower supervisory and technical occupations,3.0,Sometimes wrong,Neither agree or disagree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,-0.035251013314462794,22.0,None,No,Not very important,In a steady & ongoing relationship  but not living with a partner in last year,0.38782198721381506
16-24,Male,White,Heterosexual/straight,Semi-routine and routine occupations,4.0,Always wrong,Neither agree or disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Agree,Agree strongly,0.2820576838947595,,Non-limiting,No,Not important at all,Living with partner,0.2887415486023208
35-44,Male,White,Heterosexual/straight,Semi-routine and routine occupations,2.0,Not wrong at all,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree,Agree strongly,-1.8969674839663715,28.0,None,No,Not important at all,Divorced/Separated and not in a steady & ongoing relationship in last year,1.4671787891357306
25-34,Male,White,Heterosexual/straight,Small employers and own account workers,3.0,Not wrong at all,Agree,Disagree,Neither agree or disagree,Agree,Neither agree or disagree,Disagree,-2.0909795578678927,,None,No,Not very important,Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year,0.545530334101124
55-64,Male,White,Heterosexual/straight,Managerial and prof occupations,3.0,Always wrong,Neither agree or disagree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree strongly,0.3593830483068859,,Non-limiting,No,Not important at all,Married/In a civil partnership and living with spouse/partner,1.583308661377941
25-34,Male,White,Heterosexual/straight,Managerial and prof occupations,3.0,Always wrong,Disagree,Agree,Agree,Agree strongly,Agree strongly,Agree strongly,1.9162374126351138,,None,No,Not very important,Living with partner,1.2262176039263375
25-34,Female,Not white,Heterosexual/straight,Managerial and prof occupations,2.0,Mostly wrong,Neither agree or disagree,Agree strongly,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree strongly,0.41223288399129054,31.0,None,No,Very important,Married/In a civil partnership and living with spouse/partner,0.8155438261360863
16-24,Male,White,Heterosexual/straight,Student in full-time education,[most deprived],Sometimes wrong,Neither agree or disagree,Agree strongly,Disagree,Neither agree or disagree,Agree,Agree,-0.023119535506692088,,None,No,Not very important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",1.0297339309856055
25-34,Female,Not white,Heterosexual/straight,No job of 10+ hrs/week in last 10 years,[most deprived],Not wrong at all,Agree,Agree,Agree strongly,Agree strongly,Agree strongly,Agree strongly,0.9548541753800421,22.0,Limiting,Yes,Not important at all,In a steady & ongoing relationship  but not living with a partner in last year,0.2956754827980422
45-54,Male,White,Heterosexual/straight,Never worked or long term unemployed,3.0,Always wrong,Agree,Agree strongly,Disagree,Agree strongly,Agree strongly,Agree strongly,1.222750642712052,,Limiting,,Not important at all,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.8623892740249023
25-34,Male,White,Heterosexual/straight,Managerial and prof occupations,3.0,Always wrong,Agree,Agree,Agree,Agree,Neither agree or disagree,Agree,0.08166117700488804,,None,No,Very important,Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year,1.1216647987408441
16-24,Male,Not white,Heterosexual/straight,Student in full-time education,4.0,Sometimes wrong,Agree,Neither agree or disagree,Don't know,Disagree,Agree,Agree,,,None,,Fairly important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.39507881354720364
35-44,Male,Not white,Heterosexual/straight,Managerial and prof occupations,3.0,Mostly wrong,Agree,Agree strongly,Agree strongly,Neither agree or disagree,Agree strongly,Agree strongly,1.3138738108827226,30.0,None,No,Fairly important,Married/In a civil partnership and living with spouse/partner,2.8502915791746637
25-34,Male,White,Heterosexual/straight,Managerial and prof occupations,3.0,Mostly wrong,Neither agree or disagree,Agree,Agree,Agree,Neither agree or disagree,Agree,0.1612098429738573,,None,No,Fairly important,Living with partner,0.7540498887704106
